symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
pain,weakness,skin changes,fatigue,lump,bleeding,night sweats,,cancer
high temperature,weakness,chills,body pain,sweating,sore throat,fatigue,headache,fever
headache,vomiting,dry cough,loss of appetite,weakness,body ache,fever,,typhoid
vomiting,body ache,abdominal pain,headache,dry cough,loss of appetite,weakness,fever,typhoid
rapid breathing,chest tightness,short breaths,breathlessness,fatigue,trouble sleeping,coughing,wheezing,asthma
muscle pain,sweating,chills,fever,fatigue,headache,nausea,,malaria
fatigue,frequent urination,slow healing,increased thirst,hunger,blurred vision,tingling in feet,weight loss,diabetes
coughing,breathlessness,wheezing,fatigue,rapid breathing,short breaths,trouble sleeping,chest tightness,asthma
fever,loss of appetite,constipation,vomiting,body ache,headache,dry cough,weakness,typhoid
nausea,headache,sweating,vomiting,rapid heartbeat,fatigue,chills,muscle pain,malaria
weakness,body pain,fatigue,loss of appetite,headache,sweating,chills,,fever
fatigue,fever,shortness of breath,rapid breathing,chills,cough,phlegm,,pneumonia
nausea,sweating,fatigue,muscle pain,headache,rapid heartbeat,fever,,malaria
phlegm,chest pain,fatigue,rapid breathing,cough,chills,fever,shortness of breath,pneumonia
irregular heartbeat,shortness of breath,cold sweat,fatigue,left arm pain,nausea,dizziness,jaw pain,heart attack
nausea,jaw pain,chest pain,fatigue,irregular heartbeat,cold sweat,shortness of breath,,heart attack
rapid breathing,shortness of breath,cough,chest pain,fever,chills,phlegm,fatigue,pneumonia
short breaths,rapid breathing,fatigue,coughing,chest tightness,wheezing,trouble sleeping,breathlessness,asthma
lump,weight loss,bleeding,weakness,night sweats,fatigue,skin changes,,cancer
shortness of breath,rapid breathing,chills,cough,fatigue,fever,chest pain,,pneumonia
fatigue,headache,body pain,weakness,sore throat,chills,high temperature,loss of appetite,fever
weakness,high temperature,body pain,sweating,headache,fatigue,sore throat,,fever
fatigue,slow heart rate,depression,dry skin,memory problems,hair loss,muscle weakness,,thyroid
loss of appetite,headache,fever,vomiting,abdominal pain,constipation,weakness,,typhoid
neck pain,sound sensitivity,fatigue,vomiting,vision issues,nausea,sensitivity to light,,migraine
sweating,vomiting,headache,nausea,chills,fever,fatigue,muscle pain,malaria
skin changes,loss of appetite,lump,fatigue,night sweats,weakness,pain,bleeding,cancer
muscle pain,fever,vomiting,nausea,rapid heartbeat,headache,sweating,,malaria
short breaths,trouble sleeping,rapid breathing,chest tightness,fatigue,coughing,breathlessness,wheezing,asthma
dry cough,body ache,abdominal pain,loss of appetite,vomiting,weakness,constipation,fever,typhoid
vision issues,nausea,sensitivity to light,fatigue,sound sensitivity,neck pain,vomiting,,migraine
chills,sore throat,headache,high temperature,fatigue,weakness,body pain,,fever
vomiting,headache,dry cough,fever,constipation,abdominal pain,loss of appetite,weakness,typhoid
bleeding,night sweats,loss of appetite,skin changes,lump,fatigue,weight loss,,cancer
body pain,weakness,high temperature,headache,sore throat,chills,loss of appetite,,fever
vomiting,headache,fatigue,fever,rapid heartbeat,nausea,sweating,chills,malaria
chest pain,phlegm,fatigue,shortness of breath,chills,rapid breathing,fever,cough,pneumonia
fatigue,lump,weight loss,bleeding,loss of appetite,skin changes,night sweats,,cancer
weight gain,hair loss,slow heart rate,depression,memory problems,dry skin,muscle weakness,fatigue,thyroid
body pain,chills,headache,sore throat,loss of appetite,sweating,high temperature,,fever
coughing,wheezing,breathlessness,chest tightness,short breaths,rapid breathing,fatigue,trouble sleeping,asthma
fever,fatigue,shortness of breath,cough,chest pain,rapid breathing,phlegm,chills,pneumonia
vomiting,neck pain,sensitivity to light,headache,vision issues,fatigue,sound sensitivity,,migraine
headache,sound sensitivity,vision issues,neck pain,sensitivity to light,nausea,fatigue,,migraine
chills,fatigue,sore throat,headache,weakness,sweating,loss of appetite,body pain,fever
vomiting,fever,fatigue,chills,sweating,headache,rapid heartbeat,nausea,malaria
trouble sleeping,chest tightness,fatigue,wheezing,breathlessness,short breaths,rapid breathing,coughing,asthma
dry cough,vomiting,headache,body ache,weakness,constipation,loss of appetite,,typhoid
cold sweat,chest pain,dizziness,fatigue,jaw pain,irregular heartbeat,nausea,left arm pain,heart attack
fatigue,tingling in feet,weight loss,increased thirst,slow healing,blurred vision,hunger,frequent urination,diabetes
sound sensitivity,fatigue,sensitivity to light,nausea,headache,neck pain,vision issues,vomiting,migraine
phlegm,fatigue,rapid breathing,chest pain,fever,shortness of breath,chills,cough,pneumonia
nausea,fatigue,dizziness,irregular heartbeat,jaw pain,chest pain,shortness of breath,,heart attack
loss of appetite,fever,vomiting,weakness,abdominal pain,dry cough,headache,constipation,typhoid
nausea,irregular heartbeat,chest pain,dizziness,shortness of breath,left arm pain,jaw pain,,heart attack
chest pain,jaw pain,dizziness,nausea,left arm pain,cold sweat,shortness of breath,fatigue,heart attack
fatigue,sweating,high temperature,sore throat,chills,loss of appetite,weakness,,fever
loss of appetite,vomiting,abdominal pain,fever,body ache,constipation,dry cough,,typhoid
phlegm,chills,cough,shortness of breath,chest pain,fatigue,fever,,pneumonia
headache,abdominal pain,constipation,fever,dry cough,loss of appetite,weakness,,typhoid
blurred vision,frequent urination,hunger,fatigue,increased thirst,weight loss,tingling in feet,slow healing,diabetes
memory problems,depression,hair loss,dry skin,muscle weakness,slow heart rate,fatigue,weight gain,thyroid
fatigue,chills,cough,fever,rapid breathing,shortness of breath,chest pain,phlegm,pneumonia
sore throat,chills,body pain,loss of appetite,weakness,high temperature,headache,sweating,fever
increased thirst,frequent urination,fatigue,blurred vision,slow healing,weight loss,tingling in feet,,diabetes
shortness of breath,jaw pain,dizziness,nausea,cold sweat,fatigue,irregular heartbeat,,heart attack
fever,headache,constipation,dry cough,abdominal pain,vomiting,loss of appetite,body ache,typhoid
rapid breathing,trouble sleeping,wheezing,short breaths,breathlessness,fatigue,chest tightness,coughing,asthma
slow healing,blurred vision,fatigue,frequent urination,weight loss,tingling in feet,hunger,,diabetes
headache,fever,vomiting,constipation,body ache,weakness,abdominal pain,,typhoid
rapid heartbeat,headache,fatigue,chills,nausea,muscle pain,vomiting,sweating,malaria
hair loss,depression,memory problems,weight gain,slow heart rate,fatigue,dry skin,muscle weakness,thyroid
cold sweat,jaw pain,irregular heartbeat,shortness of breath,left arm pain,fatigue,chest pain,,heart attack
shortness of breath,cough,rapid breathing,chills,phlegm,chest pain,fever,fatigue,pneumonia
fatigue,chills,body pain,high temperature,headache,loss of appetite,weakness,,fever
headache,neck pain,vomiting,fatigue,sound sensitivity,vision issues,sensitivity to light,nausea,migraine
cough,fever,phlegm,chest pain,fatigue,rapid breathing,shortness of breath,chills,pneumonia
left arm pain,chest pain,dizziness,jaw pain,cold sweat,irregular heartbeat,fatigue,shortness of breath,heart attack
fatigue,sound sensitivity,neck pain,headache,sensitivity to light,nausea,vision issues,,migraine
memory problems,muscle weakness,weight gain,depression,slow heart rate,dry skin,hair loss,,thyroid
neck pain,fatigue,sensitivity to light,vision issues,nausea,headache,sound sensitivity,,migraine
loss of appetite,weakness,skin changes,weight loss,pain,bleeding,lump,,cancer
sensitivity to light,neck pain,fatigue,vomiting,nausea,sound sensitivity,vision issues,,migraine
fatigue,breathlessness,trouble sleeping,coughing,wheezing,short breaths,chest tightness,rapid breathing,asthma
loss of appetite,body pain,weakness,high temperature,sweating,fatigue,sore throat,,fever
fatigue,sensitivity to light,nausea,sound sensitivity,headache,vomiting,vision issues,,migraine
high temperature,weakness,sore throat,fatigue,sweating,chills,loss of appetite,,fever
high temperature,loss of appetite,body pain,fatigue,headache,sweating,chills,,fever
slow healing,increased thirst,hunger,tingling in feet,frequent urination,fatigue,blurred vision,,diabetes
hair loss,dry skin,depression,fatigue,memory problems,muscle weakness,slow heart rate,,thyroid
bleeding,pain,fatigue,lump,weight loss,night sweats,skin changes,loss of appetite,cancer
slow healing,frequent urination,increased thirst,fatigue,blurred vision,hunger,weight loss,,diabetes
weight loss,increased thirst,blurred vision,slow healing,tingling in feet,frequent urination,hunger,,diabetes
sweating,rapid heartbeat,headache,chills,fatigue,vomiting,nausea,,malaria
weight gain,slow heart rate,memory problems,dry skin,hair loss,muscle weakness,depression,,thyroid
blurred vision,frequent urination,increased thirst,slow healing,tingling in feet,hunger,weight loss,,diabetes
sweating,nausea,rapid heartbeat,fatigue,muscle pain,headache,vomiting,chills,malaria
hair loss,weight gain,depression,muscle weakness,fatigue,memory problems,dry skin,slow heart rate,thyroid
fatigue,lump,loss of appetite,bleeding,night sweats,weight loss,skin changes,weakness,cancer
loss of appetite,headache,constipation,body ache,dry cough,fever,vomiting,abdominal pain,typhoid
sweating,nausea,headache,chills,fatigue,fever,muscle pain,,malaria
chest pain,irregular heartbeat,jaw pain,shortness of breath,cold sweat,dizziness,left arm pain,,heart attack
sweating,nausea,rapid heartbeat,headache,muscle pain,chills,fatigue,,malaria
sweating,vomiting,headache,fever,fatigue,nausea,chills,rapid heartbeat,malaria
phlegm,shortness of breath,fever,fatigue,rapid breathing,chills,chest pain,cough,pneumonia
jaw pain,left arm pain,chest pain,cold sweat,fatigue,dizziness,irregular heartbeat,nausea,heart attack
fatigue,cough,phlegm,fever,rapid breathing,chills,shortness of breath,,pneumonia
high temperature,loss of appetite,weakness,sweating,fatigue,sore throat,headache,body pain,fever
vision issues,sensitivity to light,fatigue,neck pain,vomiting,headache,sound sensitivity,nausea,migraine
sweating,rapid heartbeat,fever,vomiting,nausea,fatigue,muscle pain,headache,malaria
fatigue,weight loss,blurred vision,tingling in feet,hunger,increased thirst,slow healing,frequent urination,diabetes
slow heart rate,muscle weakness,depression,weight gain,fatigue,dry skin,memory problems,,thyroid
shortness of breath,chest pain,cold sweat,fatigue,jaw pain,dizziness,nausea,left arm pain,heart attack
nausea,fatigue,sound sensitivity,vision issues,vomiting,neck pain,sensitivity to light,,migraine
bleeding,weight loss,night sweats,lump,fatigue,skin changes,weakness,,cancer
depression,weight gain,fatigue,muscle weakness,memory problems,dry skin,hair loss,,thyroid
irregular heartbeat,jaw pain,left arm pain,fatigue,chest pain,shortness of breath,nausea,,heart attack
jaw pain,chest pain,irregular heartbeat,dizziness,shortness of breath,nausea,left arm pain,cold sweat,heart attack
phlegm,shortness of breath,fever,chest pain,fatigue,chills,cough,,pneumonia
chest pain,cough,phlegm,rapid breathing,fever,chills,fatigue,,pneumonia
weakness,high temperature,fatigue,loss of appetite,body pain,sore throat,sweating,chills,fever
tingling in feet,fatigue,frequent urination,hunger,slow healing,weight loss,blurred vision,,diabetes
rapid breathing,chest tightness,breathlessness,wheezing,fatigue,trouble sleeping,short breaths,coughing,asthma
constipation,weakness,vomiting,body ache,dry cough,headache,abdominal pain,,typhoid
loss of appetite,fatigue,night sweats,skin changes,bleeding,pain,weight loss,weakness,cancer
breathlessness,fatigue,chest tightness,coughing,rapid breathing,short breaths,wheezing,trouble sleeping,asthma
vomiting,nausea,fatigue,neck pain,headache,vision issues,sensitivity to light,,migraine
body pain,chills,weakness,loss of appetite,fatigue,sore throat,sweating,,fever
sound sensitivity,fatigue,neck pain,nausea,sensitivity to light,vision issues,headache,vomiting,migraine
left arm pain,cold sweat,fatigue,chest pain,shortness of breath,nausea,jaw pain,dizziness,heart attack
wheezing,breathlessness,chest tightness,rapid breathing,coughing,fatigue,short breaths,,asthma
fever,rapid breathing,cough,phlegm,chills,chest pain,fatigue,,pneumonia
chest tightness,rapid breathing,coughing,wheezing,fatigue,trouble sleeping,breathlessness,short breaths,asthma
fever,constipation,abdominal pain,weakness,body ache,headache,dry cough,,typhoid
depression,fatigue,slow heart rate,memory problems,dry skin,hair loss,weight gain,muscle weakness,thyroid
high temperature,body pain,sore throat,headache,fatigue,sweating,chills,weakness,fever
pain,weight loss,skin changes,fatigue,weakness,lump,night sweats,loss of appetite,cancer
slow healing,tingling in feet,weight loss,blurred vision,hunger,fatigue,increased thirst,frequent urination,diabetes
bleeding,loss of appetite,pain,skin changes,lump,fatigue,weight loss,,cancer
fatigue,frequent urination,hunger,tingling in feet,weight loss,blurred vision,slow healing,increased thirst,diabetes
fatigue,muscle weakness,hair loss,slow heart rate,depression,dry skin,weight gain,memory problems,thyroid
bleeding,skin changes,loss of appetite,fatigue,lump,weakness,pain,night sweats,cancer
cold sweat,shortness of breath,fatigue,chest pain,jaw pain,nausea,irregular heartbeat,,heart attack
left arm pain,chest pain,irregular heartbeat,jaw pain,shortness of breath,dizziness,nausea,,heart attack
jaw pain,chest pain,fatigue,shortness of breath,left arm pain,dizziness,irregular heartbeat,nausea,heart attack
loss of appetite,skin changes,lump,night sweats,pain,weight loss,weakness,fatigue,cancer
chills,chest pain,phlegm,fatigue,cough,shortness of breath,fever,rapid breathing,pneumonia
fatigue,bleeding,night sweats,weight loss,weakness,skin changes,pain,loss of appetite,cancer
phlegm,cough,fever,chest pain,fatigue,chills,rapid breathing,shortness of breath,pneumonia
cough,chest pain,fever,phlegm,fatigue,rapid breathing,chills,,pneumonia
chest tightness,wheezing,breathlessness,fatigue,trouble sleeping,short breaths,rapid breathing,coughing,asthma
rapid breathing,phlegm,shortness of breath,fatigue,fever,chest pain,cough,chills,pneumonia
hunger,weight loss,tingling in feet,fatigue,increased thirst,frequent urination,blurred vision,,diabetes
vision issues,nausea,fatigue,headache,sound sensitivity,vomiting,neck pain,sensitivity to light,migraine
slow healing,frequent urination,blurred vision,tingling in feet,weight loss,fatigue,hunger,increased thirst,diabetes
weight loss,night sweats,loss of appetite,skin changes,pain,weakness,lump,,cancer
night sweats,weakness,pain,lump,fatigue,weight loss,loss of appetite,skin changes,cancer
fatigue,chest tightness,short breaths,breathlessness,wheezing,coughing,trouble sleeping,rapid breathing,asthma
high temperature,loss of appetite,headache,weakness,sweating,fatigue,chills,,fever
sore throat,high temperature,fatigue,headache,weakness,sweating,body pain,loss of appetite,fever
fatigue,skin changes,weight loss,lump,loss of appetite,bleeding,night sweats,weakness,cancer
sound sensitivity,headache,neck pain,vomiting,fatigue,vision issues,sensitivity to light,,migraine
fatigue,tingling in feet,hunger,weight loss,increased thirst,blurred vision,frequent urination,,diabetes
sensitivity to light,vision issues,vomiting,neck pain,headache,fatigue,nausea,sound sensitivity,migraine
fatigue,sweating,high temperature,body pain,chills,weakness,loss of appetite,,fever
sound sensitivity,nausea,vomiting,neck pain,fatigue,vision issues,sensitivity to light,headache,migraine
chest tightness,wheezing,short breaths,coughing,trouble sleeping,rapid breathing,fatigue,,asthma
weakness,loss of appetite,high temperature,headache,fatigue,body pain,sweating,chills,fever
bleeding,pain,weakness,skin changes,weight loss,loss of appetite,night sweats,lump,cancer
night sweats,bleeding,weight loss,skin changes,lump,weakness,fatigue,pain,cancer
headache,nausea,rapid heartbeat,fatigue,chills,vomiting,fever,muscle pain,malaria
dry skin,slow heart rate,weight gain,depression,muscle weakness,fatigue,memory problems,,thyroid
loss of appetite,fever,body ache,abdominal pain,headache,dry cough,weakness,constipation,typhoid
chills,rapid heartbeat,vomiting,fatigue,headache,nausea,fever,muscle pain,malaria
chest tightness,fatigue,wheezing,rapid breathing,coughing,breathlessness,trouble sleeping,,asthma
headache,dry cough,weakness,abdominal pain,constipation,vomiting,fever,loss of appetite,typhoid
rapid heartbeat,fever,sweating,muscle pain,chills,headache,fatigue,vomiting,malaria
vomiting,nausea,headache,sensitivity to light,neck pain,fatigue,vision issues,sound sensitivity,migraine
weakness,pain,lump,loss of appetite,weight loss,bleeding,skin changes,,cancer
irregular heartbeat,nausea,fatigue,jaw pain,shortness of breath,left arm pain,cold sweat,,heart attack
slow heart rate,hair loss,fatigue,weight gain,depression,dry skin,memory problems,muscle weakness,thyroid
breathlessness,coughing,rapid breathing,short breaths,wheezing,chest tightness,trouble sleeping,fatigue,asthma
skin changes,lump,weight loss,fatigue,loss of appetite,pain,bleeding,weakness,cancer
fatigue,vomiting,headache,sound sensitivity,nausea,sensitivity to light,neck pain,vision issues,migraine
shortness of breath,fever,cough,chest pain,fatigue,phlegm,rapid breathing,chills,pneumonia
muscle pain,fatigue,vomiting,fever,nausea,rapid heartbeat,sweating,headache,malaria
fatigue,rapid breathing,shortness of breath,fever,cough,chills,chest pain,phlegm,pneumonia
weight loss,skin changes,night sweats,loss of appetite,fatigue,pain,lump,weakness,cancer
pain,loss of appetite,lump,weakness,skin changes,bleeding,weight loss,night sweats,cancer
pain,skin changes,loss of appetite,bleeding,weakness,weight loss,fatigue,,cancer
loss of appetite,abdominal pain,vomiting,constipation,fever,headache,body ache,dry cough,typhoid
breathlessness,coughing,fatigue,wheezing,trouble sleeping,chest tightness,rapid breathing,short breaths,asthma
hunger,fatigue,frequent urination,increased thirst,tingling in feet,slow healing,weight loss,,diabetes
blurred vision,fatigue,weight loss,increased thirst,frequent urination,slow healing,tingling in feet,,diabetes
fatigue,bleeding,skin changes,pain,night sweats,weakness,lump,loss of appetite,cancer
dry cough,headache,weakness,loss of appetite,vomiting,body ache,constipation,,typhoid
weight loss,hunger,slow healing,tingling in feet,increased thirst,fatigue,blurred vision,,diabetes
fatigue,hunger,increased thirst,frequent urination,blurred vision,slow healing,weight loss,,diabetes
sweating,fatigue,sore throat,high temperature,loss of appetite,headache,chills,weakness,fever
nausea,fever,sweating,chills,rapid heartbeat,vomiting,muscle pain,headache,malaria
muscle weakness,depression,dry skin,weight gain,fatigue,slow heart rate,hair loss,,thyroid
headache,muscle pain,vomiting,nausea,fatigue,rapid heartbeat,chills,,malaria
muscle weakness,slow heart rate,dry skin,fatigue,memory problems,hair loss,weight gain,,thyroid
rapid heartbeat,nausea,fatigue,chills,vomiting,sweating,headache,fever,malaria
rapid breathing,coughing,breathlessness,fatigue,chest tightness,wheezing,trouble sleeping,,asthma
sweating,fever,vomiting,muscle pain,rapid heartbeat,chills,nausea,,malaria
vomiting,fever,headache,loss of appetite,dry cough,constipation,body ache,,typhoid
short breaths,coughing,fatigue,chest tightness,wheezing,trouble sleeping,rapid breathing,breathlessness,asthma
tingling in feet,weight loss,slow healing,fatigue,frequent urination,blurred vision,increased thirst,hunger,diabetes
chest pain,nausea,dizziness,shortness of breath,jaw pain,fatigue,left arm pain,,heart attack
pain,bleeding,skin changes,night sweats,weight loss,loss of appetite,fatigue,,cancer
sweating,fever,vomiting,headache,muscle pain,fatigue,nausea,rapid heartbeat,malaria
muscle weakness,memory problems,hair loss,dry skin,weight gain,depression,slow heart rate,,thyroid
wheezing,short breaths,breathlessness,chest tightness,rapid breathing,trouble sleeping,fatigue,coughing,asthma
skin changes,lump,weakness,loss of appetite,bleeding,weight loss,pain,,cancer
cough,rapid breathing,fever,phlegm,chest pain,chills,shortness of breath,fatigue,pneumonia
headache,body ache,weakness,fever,constipation,vomiting,loss of appetite,abdominal pain,typhoid
abdominal pain,dry cough,body ache,headache,vomiting,fever,loss of appetite,weakness,typhoid
lump,weakness,pain,bleeding,loss of appetite,fatigue,night sweats,,cancer
coughing,breathlessness,trouble sleeping,wheezing,chest tightness,rapid breathing,fatigue,,asthma
weight loss,skin changes,weakness,loss of appetite,pain,night sweats,lump,,cancer
nausea,sound sensitivity,vomiting,headache,sensitivity to light,neck pain,fatigue,,migraine
phlegm,chills,chest pain,fever,cough,rapid breathing,fatigue,shortness of breath,pneumonia
dry cough,constipation,vomiting,loss of appetite,body ache,fever,abdominal pain,,typhoid
memory problems,hair loss,dry skin,muscle weakness,slow heart rate,depression,weight gain,fatigue,thyroid
fever,phlegm,fatigue,chills,cough,chest pain,rapid breathing,shortness of breath,pneumonia
dizziness,cold sweat,jaw pain,fatigue,shortness of breath,left arm pain,irregular heartbeat,,heart attack
fatigue,skin changes,loss of appetite,bleeding,weight loss,weakness,lump,night sweats,cancer
chest pain,nausea,shortness of breath,jaw pain,cold sweat,left arm pain,fatigue,irregular heartbeat,heart attack
chest tightness,rapid breathing,wheezing,trouble sleeping,short breaths,breathlessness,coughing,fatigue,asthma
nausea,dizziness,jaw pain,left arm pain,chest pain,shortness of breath,cold sweat,,heart attack
fatigue,frequent urination,tingling in feet,slow healing,hunger,increased thirst,blurred vision,weight loss,diabetes
fever,rapid breathing,chest pain,fatigue,shortness of breath,cough,chills,phlegm,pneumonia
body pain,weakness,sweating,sore throat,loss of appetite,headache,fatigue,,fever
chest pain,fatigue,chills,shortness of breath,fever,phlegm,cough,rapid breathing,pneumonia
left arm pain,shortness of breath,dizziness,cold sweat,chest pain,fatigue,irregular heartbeat,,heart attack
dry cough,headache,vomiting,constipation,loss of appetite,fever,body ache,,typhoid
sound sensitivity,vision issues,vomiting,fatigue,neck pain,sensitivity to light,headache,,migraine
chills,vomiting,rapid heartbeat,headache,fever,nausea,muscle pain,,malaria
fever,shortness of breath,cough,fatigue,phlegm,chest pain,rapid breathing,,pneumonia
nausea,headache,chills,rapid heartbeat,fatigue,fever,vomiting,sweating,malaria
sore throat,weakness,fatigue,chills,high temperature,body pain,headache,sweating,fever
headache,sensitivity to light,nausea,vomiting,fatigue,neck pain,vision issues,,migraine
loss of appetite,headache,abdominal pain,body ache,fever,constipation,vomiting,,typhoid
constipation,vomiting,abdominal pain,loss of appetite,dry cough,fever,weakness,,typhoid
headache,weakness,sore throat,chills,sweating,loss of appetite,high temperature,fatigue,fever
fatigue,blurred vision,tingling in feet,slow healing,weight loss,frequent urination,increased thirst,,diabetes
fever,sweating,headache,fatigue,nausea,chills,muscle pain,vomiting,malaria
fatigue,breathlessness,short breaths,rapid breathing,wheezing,coughing,trouble sleeping,,asthma
fatigue,nausea,sensitivity to light,neck pain,sound sensitivity,vision issues,vomiting,headache,migraine
nausea,sound sensitivity,vomiting,vision issues,headache,neck pain,sensitivity to light,,migraine
cough,phlegm,fatigue,fever,chest pain,rapid breathing,shortness of breath,chills,pneumonia
skin changes,bleeding,weight loss,pain,fatigue,lump,night sweats,loss of appetite,cancer
fatigue,pain,skin changes,bleeding,night sweats,loss of appetite,lump,,cancer
weight loss,bleeding,weakness,night sweats,skin changes,loss of appetite,fatigue,pain,cancer
body pain,chills,headache,sweating,loss of appetite,high temperature,sore throat,weakness,fever
vomiting,abdominal pain,body ache,fever,constipation,weakness,loss of appetite,dry cough,typhoid
blurred vision,increased thirst,slow healing,weight loss,fatigue,tingling in feet,hunger,,diabetes
rapid breathing,phlegm,cough,chills,shortness of breath,chest pain,fever,fatigue,pneumonia
increased thirst,slow healing,blurred vision,weight loss,tingling in feet,frequent urination,fatigue,hunger,diabetes
fatigue,slow healing,weight loss,increased thirst,frequent urination,tingling in feet,blurred vision,hunger,diabetes
night sweats,pain,bleeding,weight loss,lump,fatigue,weakness,,cancer
weight gain,fatigue,muscle weakness,hair loss,depression,memory problems,dry skin,slow heart rate,thyroid
rapid breathing,fever,fatigue,phlegm,chest pain,cough,chills,shortness of breath,pneumonia
short breaths,wheezing,coughing,breathlessness,fatigue,chest tightness,trouble sleeping,rapid breathing,asthma
dry skin,depression,fatigue,slow heart rate,muscle weakness,memory problems,hair loss,weight gain,thyroid
vomiting,chills,muscle pain,fever,headache,nausea,sweating,,malaria
nausea,fatigue,headache,muscle pain,chills,fever,rapid heartbeat,,malaria
fatigue,hair loss,slow heart rate,weight gain,memory problems,dry skin,muscle weakness,depression,thyroid
sore throat,loss of appetite,fatigue,high temperature,weakness,sweating,headache,chills,fever
muscle weakness,hair loss,fatigue,weight gain,depression,memory problems,slow heart rate,,thyroid
weight gain,muscle weakness,fatigue,dry skin,memory problems,depression,hair loss,slow heart rate,thyroid
cough,fatigue,chills,chest pain,fever,rapid breathing,shortness of breath,phlegm,pneumonia
chest pain,cough,phlegm,chills,rapid breathing,fatigue,shortness of breath,,pneumonia
weakness,loss of appetite,sore throat,high temperature,headache,chills,body pain,fatigue,fever
constipation,dry cough,vomiting,abdominal pain,loss of appetite,headache,weakness,,typhoid
shortness of breath,fever,cough,rapid breathing,chest pain,chills,phlegm,,pneumonia
dry cough,constipation,fever,abdominal pain,weakness,loss of appetite,headache,body ache,typhoid
irregular heartbeat,dizziness,cold sweat,nausea,fatigue,jaw pain,shortness of breath,chest pain,heart attack
dry skin,hair loss,weight gain,memory problems,fatigue,muscle weakness,slow heart rate,,thyroid
weakness,loss of appetite,headache,body ache,dry cough,abdominal pain,constipation,fever,typhoid
constipation,vomiting,loss of appetite,headache,abdominal pain,fever,weakness,body ache,typhoid
fatigue,bleeding,weakness,skin changes,lump,weight loss,loss of appetite,pain,cancer
weakness,fever,loss of appetite,constipation,body ache,headache,vomiting,,typhoid
phlegm,chills,fever,chest pain,shortness of breath,cough,rapid breathing,fatigue,pneumonia
chills,fever,shortness of breath,rapid breathing,fatigue,phlegm,chest pain,,pneumonia
depression,fatigue,weight gain,memory problems,hair loss,slow heart rate,dry skin,muscle weakness,thyroid
weight gain,depression,fatigue,muscle weakness,dry skin,hair loss,memory problems,,thyroid
sweating,fatigue,loss of appetite,weakness,chills,sore throat,headache,,fever
weakness,fever,constipation,loss of appetite,vomiting,abdominal pain,dry cough,body ache,typhoid
breathlessness,wheezing,fatigue,rapid breathing,coughing,trouble sleeping,short breaths,,asthma
weakness,bleeding,weight loss,pain,fatigue,lump,loss of appetite,,cancer
trouble sleeping,breathlessness,fatigue,wheezing,chest tightness,coughing,rapid breathing,short breaths,asthma
sweating,weakness,body pain,loss of appetite,sore throat,headache,chills,high temperature,fever
fatigue,hunger,blurred vision,increased thirst,tingling in feet,weight loss,slow healing,,diabetes
chills,chest pain,fever,fatigue,cough,phlegm,rapid breathing,,pneumonia
headache,abdominal pain,fever,weakness,vomiting,loss of appetite,constipation,,typhoid
short breaths,breathlessness,fatigue,rapid breathing,coughing,wheezing,trouble sleeping,chest tightness,asthma
nausea,chills,fatigue,sweating,vomiting,headache,rapid heartbeat,,malaria
blurred vision,frequent urination,increased thirst,slow healing,fatigue,tingling in feet,hunger,,diabetes
frequent urination,hunger,increased thirst,slow healing,blurred vision,weight loss,tingling in feet,,diabetes
chills,high temperature,fatigue,body pain,sore throat,weakness,headache,sweating,fever
jaw pain,nausea,left arm pain,cold sweat,chest pain,shortness of breath,fatigue,,heart attack
fatigue,rapid heartbeat,sweating,muscle pain,nausea,vomiting,chills,,malaria
irregular heartbeat,dizziness,fatigue,nausea,left arm pain,cold sweat,shortness of breath,,heart attack
weight loss,slow healing,fatigue,blurred vision,hunger,increased thirst,frequent urination,,diabetes
weight loss,increased thirst,slow healing,hunger,frequent urination,blurred vision,fatigue,tingling in feet,diabetes
fatigue,fever,nausea,chills,vomiting,muscle pain,headache,,malaria
fever,chest pain,rapid breathing,fatigue,chills,cough,phlegm,shortness of breath,pneumonia
slow healing,fatigue,blurred vision,hunger,increased thirst,tingling in feet,frequent urination,,diabetes
rapid breathing,fatigue,chest tightness,trouble sleeping,short breaths,wheezing,breathlessness,coughing,asthma
sore throat,fatigue,sweating,high temperature,weakness,headache,chills,body pain,fever
loss of appetite,dry cough,weakness,fever,headache,constipation,body ache,,typhoid
loss of appetite,weakness,constipation,abdominal pain,vomiting,fever,body ache,dry cough,typhoid
weight loss,tingling in feet,blurred vision,slow healing,frequent urination,fatigue,hunger,increased thirst,diabetes
sensitivity to light,vomiting,headache,nausea,vision issues,sound sensitivity,neck pain,fatigue,migraine
loss of appetite,body ache,constipation,headache,fever,vomiting,weakness,dry cough,typhoid
headache,sound sensitivity,neck pain,nausea,vomiting,fatigue,sensitivity to light,,migraine
lump,pain,fatigue,night sweats,skin changes,bleeding,loss of appetite,weight loss,cancer
phlegm,fatigue,shortness of breath,fever,chills,rapid breathing,chest pain,,pneumonia
high temperature,sore throat,weakness,chills,headache,sweating,body pain,,fever
trouble sleeping,chest tightness,wheezing,breathlessness,fatigue,short breaths,coughing,,asthma
body pain,high temperature,sweating,sore throat,fatigue,loss of appetite,weakness,chills,fever
weight gain,memory problems,dry skin,fatigue,hair loss,slow heart rate,muscle weakness,depression,thyroid
